"CNO70_2D","CIUO88_AC_2D"
"01","21"
"02","21"
"03","31"
"04","31"
"05","22"
"06","22"
"07","32"
"08","21"
"09","24"
"11","24"
"12","24"
"13","23"
"14","24"
"14","34"
"15","24"
"16","34"
"17","24"
"18","34"
"19","24"
"20","11"
"21","13"
"30","13"
"31","34"
"32","41"
"33","41"
"34","41"
"35","13"
"36","51"
"37","41"
"38","31"
"39","41"
"40","13"
"41","13"
"42","14"
"43","34"
"44","34"
"45","53"
"49","42"
"50","12"
"51","12"
"52","14"
"53","51"
"54","51"
"54","92"
"55","91"
"56","92"
"57","51"
"58","52"
"59","51"
"60","12"
"60","14"
"61","61"
"62","61"
"63","61"
"64","61"
"70","14"
"71","81"
"72","81"
"73","81"
"74","81"
"75","82"
"76","77"
"77","77"
"78","77"
"79","77"
"80","77"
"80","82"
"81","77"
"82","71"
"83","73"
"84","74"
"85","74"
"86","31"
"87","73"
"88","76"
"89","76"
"90","82"
"91","82"
"92","75"
"93","76"
"94","75"
"95","72"
"96","81"
"97","82"
"98","83"
"99","91"
