"CIUO88_AC","CIUO88OIT","CNO70","SENA2003"
" 0110 ",NA,NA,NA
" 0120 ","0110",NA,NA
" 0130 ","0110",NA,NA
" 0210 ","0110",NA,NA
" 0220 ","5162"," 58220 "," 0642 "
" 0230 ","5162"," 58220 ",NA
" 0240 ","5162"," 58220 "," 6363 "
" 1110 ","<NA>",NA,NA
" 1121 ","1110"," 20110 "," 0011 "
" 1122 ","1120"," 03960 "," 0012 "
" 1122 ",NA," 21155 "," 0413 "
" 1122 ",NA," 13940 "," 0013 "
" 1122 ",NA," 21160 "," 0414 "
" 1122 ",NA," 20110 "," 0014 "
" 1122 ",NA," 21165 "," 0422 "
" 1122 ",NA," 20210 "," 0015 "
" 1122 ",NA," 21170 "," 0511 "
" 1122 ",NA," 21110 "," 0016 "
" 1122 ",NA," 21175 "," 0512 "
" 1122 ",NA," 21120 "," 0411 "
" 1122 ",NA," 21180 "," 4174 "
" 1122 ",NA," 21130 "," 0412 "
" 1122 ",NA," 21185 ",NA
" 1122 ",NA," 21140 ",NA
" 1122 ",NA," 21190 ",NA
" 1130 ","<NA>"," 31010 "," 0012 "
" 1130 ",NA,NA," 0512 "
" 1130 ",NA,NA," 0643 "
" 1130 ",NA,NA," 0821 "
" 1130 ",NA,NA," 0912 "
" 1141 ","1130"," 20110 "," 0012 "
" 1142 ","1141"," 21110 "," 0014 "
" 1143 ","1142"," 21110 "," 0014 "
" 1211 ","1143"," 21110 "," 0012 "
" 1211 ",NA,NA," 0015 "
" 1212 ","1210"," 03960 "," 0013 "
" 1212 ",NA," 42130 "," 0651 "
" 1212 ",NA," 13940 "," 0014 "
" 1212 ",NA," 50020 "," 0712 "
" 1212 ",NA," 13960 "," 0015 "
" 1212 ",NA," 50030 "," 0811 "
" 1212 ",NA," 17420 "," 0016 "
" 1212 ",NA," 50090 "," 0821 "
" 1212 ",NA," 21110 "," 0311 "
" 1212 ",NA," 51020 "," 1215 "
" 1212 ",NA," 21120 "," 0421 "
" 1212 ",NA," 51030 "," 1222 "
" 1212 ",NA," 21130 "," 0422 "
" 1212 ",NA," 51040 "," 6212 "
" 1212 ",NA," 21140 "," 0423 "
" 1212 ",NA," 51050 "," 6213 "
" 1212 ",NA," 21150 "," 0511 "
" 1212 ",NA," 51060 "," 7231 "
" 1212 ",NA," 21155 "," 0512 "
" 1212 ",NA," 51070 "," 7233 "
" 1212 ",NA," 21160 "," 0621 "
" 1212 ",NA," 51090 "," 7334 "
" 1212 ",NA," 21165 "," 0632 "
" 1212 ",NA," 59220 ",NA
" 1212 ",NA," 21170 ",NA
" 1212 ",NA," 60020 ",NA
" 1212 ",NA," 60030 ",NA
" 1212 ",NA," 61110 ",NA
" 1212 ",NA," 61240 ",NA
" 1212 ",NA," 61250 ",NA
" 1212 ",NA," 61260 ",NA
" 1311 ","<NA>"," 42170 "," 0013 "
" 1311 ",NA,NA," 0611 "
" 1311 ",NA,NA," 0621 "
" 1311 ",NA,NA," 0911 "
" 1311 ",NA,NA," 0912 "
" 1311 ",NA,NA," 1214 "
" 1311 ",NA,NA," 6212 "
" 1312 ","1311"," 21190 "," 0712 "
" 1312 ",NA," 60020 "," 1312 "
" 1313 ","1312"," 21120 "," 0016 "
" 1313 ",NA," 21130 "," 0211 "
" 1313 ",NA," 21150 "," 0711 "
" 1313 ",NA," 21210 "," 0911 "
" 1313 ",NA," 92215 "," 0912 "
" 1314 ","1313"," 21140 "," 0811 "
" 1314 ",NA," 21210 "," 1314 "
